Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
6,Landmine,4,0,"&lt;img alt=""Kenya"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/23px-Flag_of_Kenya.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Dadaab, Kenya",Four Kenyan aid workers have died after their vehicle hit a mine near the Dadaab refugee camp in the eastern county of Garissa.[31],Al-Shabaab,Spillover of the War in Somalia
7,"Shooting, Suicide Bombings",18 (+5),52,"&lt;img alt=""Iran"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/23px-Flag_of_Iran.svg.png"" width=""23"" height=""13"" class=""thumbborder"" data-file-width=""630"" data-file-height=""360""&gt; Tehran, Iran",2017 Tehran attacks:The Iranian parliament and the Mausoleum of Ruhollah Khomeini were attacked by seven armed men with pistols and Kalashnikov rifles.[32],Islamic State,Assassination and terrorism in Iran
7,Suicide bombing,9,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Hīt, Iraq","Nine civilians, including children, were killed in a suicide attack that took place in central Hit, west of Iraq.[33]",Islamic State,Iraqi Civil War
7,Bombing,11,7,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Mosul, Iraq","Eleven Iraqi soldiers were killed, while seven others were wounded due to an explosion of a booby-trapped house in western Mosul district.[34]",Islamic State,Iraqi Civil War
7,"Shooting, clashes",59,38,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Puntland, Somalia","Al Shabaab militants killed 59 people, mostly soldiers, in an attack on a military base in Somalia's semi-autonomous Puntland.[35]",Al Shabaab,War in Somalia
8,Suicide bombing,14 (+3),24,"&lt;img alt=""Nigeria"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/23px-Flag_of_Nigeria.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""800"" data-file-height=""400""&gt; Maiduguri, Nigeria",At least fourteen persons were killed and 24 were injured as Boko Haram suicide bombers staged multiple attacks targeting mosques where Muslim worshippers were praying.[36],Boko Haram,Boko Haram insurgency
8,Bombing,0,0,"&lt;img alt=""Ukraine"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Kiev, Ukraine",A device exploded outside of the U.S. Embassy in Ukraine's capital Kiev. The police are investigating it as an act of terrorism.[37],Donetsk People's Republic (suspected),War in Donbass
8,"Bombing, shooting",9 (+4),8,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Diyala, Iraq","Thirteen civilians were killed, while eight others, including Islamic State militants, were wounded in violent attacks that occurred in several regions in Diyala.[38]",Islamic State,Iraqi Civil War
8,Bombing,3,2,"&lt;img alt=""Somalia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/23px-Flag_of_Somalia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Jowhar, Somalia","A blast hit a military vehicle near Hansholey area, about 5KM on the south of Jowhar, killing the three soldiers instantly and injuring two others.[39]",Al-Shabaab (suspected),War in Somalia
8,Bombing,1,1,"&lt;img alt=""Tunisia"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/23px-Flag_of_Tunisia.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""1200"" data-file-height=""800""&gt; Kasserine Governorate, Tunisia","A mine exploded at Jebel Mghila (Sidi Bouzid), during a sweep operation, killing a soldier and wounding another.[40]",Islamic State (suspected),ISIL insurgency in Tunisia
8,"Kidnapping, execution",2,0,"&lt;img alt=""Pakistan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/23px-Flag_of_Pakistan.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""900"" data-file-height=""600""&gt; Quetta, Pakistan","Islamic State has killed two Chinese citizens kidnapped in southwest Pakistan last month, the militant group's Amaq news agency said.[41]",Islamic State,War in North-West Pakistan
8,Ambush,14,35,"&lt;img alt=""South Sudan"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_South_Sudan.svg/23px-Flag_of_South_Sudan.svg.png"" width=""23"" height=""12"" class=""thumbborder"" data-file-width=""1000"" data-file-height=""500""&gt; Moli, South Sudan",At least 14 people have been killed and 35 wounded after an ambush by armed men to a convoy of buses and cars on the main road in South Sudan.[42],Sudan People's Liberation Army (suspected),South Sudanese Civil War
8,Shooting,1,2,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Balad District, Iraq","A civilian was killed and two others were wounded in an armed attack in Balad District, south of Tikrit.[43]",Islamic State,Iraqi Civil War
9,Suicide bombing,30 (+1),35,"&lt;img alt=""Iraq"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/23px-Flag_of_Iraq.svg.png"" width=""23"" height=""15"" class=""thumbborder"" data-file-width=""411"" data-file-height=""274""&gt; Kerbala, Iraq","A woman detonated her explosive belt in a market east of the Shi’ite holy city of Kerbala on Friday, killing at least 30 and wounding 35.[44]",Islamic State,Iraqi Civil War
